Timestamp,Campus Energy Centre Boiler B-2 Efficiency (%),Campus Energy Centre Boiler B-2 Energy (MWh),Campus Energy Centre Boiler B-2 Entering Water Temp (K),Campus Energy Centre Boiler B-2 Exhaust CO (ppm),Campus Energy Centre Boiler B-2 Exhaust CO2 (%),Campus Energy Centre Boiler B-2 Exhaust NOx (ppm),Campus Energy Centre Boiler B-2 Exhaust O2 (%),Campus Energy Centre Boiler B-2 Exhaust Temp (K),Campus Energy Centre Boiler B-2 Firing Rate (%),Campus Energy Centre Boiler B-2 Gas Flow Rate (m³/h),Campus Energy Centre Boiler B-2 Gas Pressure (kPa),Campus Energy Centre Boiler B-2 Leaving Water Temp (K),Campus Energy Centre Boiler B-2 Leaving Water Temp Setpoint (K),Campus Energy Centre Boiler B-2 Power (MW),Campus Energy Centre Boiler B-2 Water Flow Rate (L/s),UBC Humidity (%RH),UBC Temp (K)
2021-05-22 11:00:00+00:00,86.92500305175781,23.296875,358.2535399924384,0.5338888888888889,10.18336113002565,32.62027777777777,2.728611099918684,376.43472222222215,29.216944444444447,800.627685292562,135.78369140625,367.55277777777775,368.15,6.744805649518966,222.37991290198437,80.0,287.3500000476837
2021-05-22 12:00:00+00:00,86.80000305175781,0.0,359.7772368621826,0.0,9.646888910134637,25.10861111111111,3.766361132992638,373.6222222222222,24.850277777777777,799.2637254163955,136.05755233764648,368.07833333333326,368.15,5.349000155793296,222.0177019585504,78.75,288.12499990463255
2021-05-22 13:00:00+00:00,86.80000305175781,10.203125,360.1907851113213,0.0,9.833972187836968,21.369166666666665,3.4498888872729414,372.65,23.584722222222226,799.3325286187065,135.82182693481445,367.57666666666665,368.15,4.909027996063232,222.0368138461644,76.5,288.67499985694883
2021-05-22 14:00:00+00:00,86.80000305175781,0.0,360.1301803080241,0.0,10.155722301006318,26.14916666666667,3.0831388823853594,371.9,22.900277777777777,801.1532628885905,135.82931518554688,367.4,368.15,4.818833421733645,222.64396247016063,75.75,288.32499995231626
2021-05-22 15:00:00+00:00,86.95000076293945,10.5,361.1665229966905,0.0,9.792416854699454,25.349722222222223,3.7065277986394034,371.15,19.25333333333333,800.3174328613279,136.1874008178711,367.4522222222222,368.15,3.635194547242589,222.3367878723145,66.0,289.65
2021-05-22 16:00:00+00:00,87.0999984741211,0.0,361.0759192064073,0.0,9.218666530980004,24.72833333333333,3.78852778520849,371.15,18.91583333333334,800.8204722934298,136.47879791259766,367.65,368.15,3.731361158556409,222.4501320860122,66.75,289.70000019073484
2021-05-22 17:00:00+00:00,87.0999984741211,0.0,361.69749488830564,0.0,9.658194405502742,26.746944444444445,3.977833350499471,369.9,17.76638888888889,800.9262625969781,136.44842529296875,367.4,368.15,3.4709722570578254,222.4795181147258,66.5,289.95000019073484
2021-05-22 18:00:00+00:00,87.12500190734863,0.0,361.5143950737847,0.0,8.967333240509033,25.48638888888889,4.356111050910419,369.59027777777777,16.839444444444446,799.1757935757105,136.6380958557129,367.3372222222222,368.15,3.014777859316932,221.99327636294905,67.5,289.95000019073484
2021-05-22 19:00:00+00:00,87.30000305175781,11.09375,361.26604237026635,0.0,9.479611101945242,31.24194444444445,3.99969446765052,371.15,17.926944444444445,799.7684726799857,136.46228790283203,366.96888888888884,368.15,3.3882778033283016,222.1579100502862,67.0,289.775
2021-05-22 20:00:00+00:00,87.30000305175781,0.0,361.03606987211435,0.0,9.66541674402025,26.863333333333337,4.129472239282396,371.2444444444444,19.611944444444447,801.216463792589,136.63154220581055,367.5044444444444,368.15,3.704389064775573,222.62489847819012,66.0,289.49999990463255
2021-05-22 21:00:00+00:00,87.1500015258789,8.09375,360.13178296195133,0.0,9.828610945542655,22.81638888888889,3.391888851920764,373.8461111111111,23.82361111111111,800.1815543789331,136.4346160888672,367.5197222222222,368.15,4.899444478021728,222.272655275133,76.25,287.57499995231626
2021-05-22 22:00:00+00:00,87.0,7.0,358.74249305725095,0.0,10.072472435103522,22.88805555555556,3.0830555715825825,373.9,27.43583333333333,798.8941897752547,136.4684944152832,367.9183333333333,368.15,6.389027853806812,221.9150531556872,78.5,286.1000000476837
2021-05-22 23:00:00+00:00,87.1500015258789,0.0,359.5783688990275,0.0,9.734999819066791,23.39722222222222,3.430277741087808,373.02777777777777,25.381111111111117,800.9822152540421,136.53387832641602,367.3666666666667,368.15,5.514694579044978,222.4950606324938,77.5,286.4250000953674
2021-05-23 00:00:00+00:00,87.22500228881836,0.0,359.0480070601569,0.0,9.84161101182302,22.58416666666667,3.1235555970999926,375.2922222222222,26.936944444444443,800.2745213996038,136.37624740600586,367.6433333333333,368.15,5.993666758934657,222.2984786012438,77.0,286.2500003814697
2021-05-23 01:00:00+00:00,87.125,0.0,359.2513705423143,0.0,10.027111195723217,22.80611111111111,3.012777794202169,375.8108333333333,27.39444444444445,800.6982653808595,136.6484336853027,367.2694444444444,368.15,6.008361221022076,222.4161852773031,77.0,286.4749998092651
2021-05-23 02:00:00+00:00,87.0,0.0,359.09341505262586,0.0,9.90000004026625,23.84444444444445,3.0249722103608976,374.15,27.46305555555556,800.1782267422146,136.52781295776367,367.65,368.15,5.980944505002764,222.50096621619335,77.0,286.54999961853025
2021-05-23 03:00:00+00:00,87.07499885559082,0.0,358.9113203239441,0.6716666666666666,9.991166772312589,22.23944444444444,3.41222222165929,374.1638888888889,27.05361111111111,799.3448422749839,136.66508102416992,367.7683333333333,368.15,5.938472340769238,222.03632025824652,77.5,286.49999990463255
2021-05-23 04:00:00+00:00,87.0999984741211,0.0,358.094504354265,0.2916666666666667,9.652277735074362,22.91222222222223,3.362472185989221,375.91777777777776,29.241388888888885,799.1899097866482,136.45783233642578,367.3277777777778,368.15,6.702055715587404,221.9971979056465,81.25,286.02500023841856
