Timestamp,Campus Energy Centre Boiler B-2 Efficiency (%),Campus Energy Centre Boiler B-2 Energy (MWh),Campus Energy Centre Boiler B-2 Entering Water Temp (K),Campus Energy Centre Boiler B-2 Exhaust CO (ppm),Campus Energy Centre Boiler B-2 Exhaust CO2 (%),Campus Energy Centre Boiler B-2 Exhaust NOx (ppm),Campus Energy Centre Boiler B-2 Exhaust O2 (%),Campus Energy Centre Boiler B-2 Exhaust Temp (K),Campus Energy Centre Boiler B-2 Firing Rate (%),Campus Energy Centre Boiler B-2 Gas Flow Rate (m³/h),Campus Energy Centre Boiler B-2 Gas Pressure (kPa),Campus Energy Centre Boiler B-2 Leaving Water Temp (K),Campus Energy Centre Boiler B-2 Leaving Water Temp Setpoint (K),Campus Energy Centre Boiler B-2 Power (MW),Campus Energy Centre Boiler B-2 Water Flow Rate (L/s),UBC Humidity (%RH),UBC Temp (K),fuel molar flowrate (mol/h),mole fraction H2O in air,mole fraction O2 in air,mole fraction N2 in air,air inlet molar flowrate (mol/h),flue gas molar flowrate (mol/h),mole fraction O2 in flue gas,mole fraction N2 in flue gas,mole fraction H2O in flue gas,mole fraction CO2 in flue gas,boiler_efficiency_percent
2021-01-01 00:00:00+00:00,86.70000267028809,0.0,362.5865547943115,5.827500000000001,10.755305530230208,23.517777777777777,2.98899999866883,383.30555555555554,30.938333333333343,783.652813805474,135.3374137878418,372.7,373.15,7.223277897967233,217.68133773379856,98.0,280.15,45534.536842804446,0.0095906554821182,0.2079859623487551,0.7824233821691265,539503.3652564937,593006.446046789,0.0298899999866882,0.7118304540357486,0.177654345351713,0.08062520062585,80.00762257957051
2021-01-01 01:00:00+00:00,86.69999885559082,0.0,361.9949974060058,1.314722222222222,10.75544445647134,23.39333333333333,3.0012221994168224,382.65277777777777,30.96555555555556,783.9632658894853,135.0747184753418,372.8380555555556,373.15,7.3651945927408,217.7377289242216,98.0,280.0500000953674,45480.3907353098,0.0095256801603535,0.2079996071663257,0.7824747126733207,539227.2468810816,592666.7059950706,0.0300122219941682,0.7119206812208031,0.1774916067346858,0.0805754900503428,85.90159216667928
2021-01-01 02:00:00+00:00,86.69999885559082,0.0,362.2644982655843,1.8394444444444444,10.665555545224084,24.07638888888889,2.897888895289765,383.01138888888886,31.31638888888889,783.8749766370983,135.51842498779297,372.625,373.15,7.373166773584154,217.60555018954807,98.0,280.15,45608.36456139304,0.0095906554821182,0.2079859623487551,0.7824233821691265,537354.9118766572,590944.740236294,0.0289788889528976,0.7114693116781293,0.1785141328516028,0.08103766651737,81.79894193664843
2021-01-01 03:00:00+00:00,86.55000114440918,0.0,362.4549983978271,7.601111111111112,10.805027798281776,23.906666666666663,2.757972207301193,384.0438888888889,31.87194444444445,783.0525615776909,135.27142333984375,372.605,373.15,7.4734167508284255,217.51460125393345,97.5,280.0500000953674,45493.71231925603,0.0094775403637099,0.2080097165236209,0.7825127431126692,531362.4848575634,584817.5968326892,0.0275797220730119,0.710987353774876,0.1797520749541271,0.0816808491979849,80.30620530913603
2021-01-01 04:00:00+00:00,86.64999771118164,45.59375,362.0299991607666,4.368611111111111,10.905111135641732,23.918888888888883,2.895527752389511,384.1747222222222,32.438611111111115,784.1719704352485,135.57050323486328,372.2683333333333,373.15,7.73397234082222,217.74013168758825,97.0,279.95000019073484,45675.78611225324,0.0093654514362009,0.2080332551983978,0.7826012933654012,537929.1168735875,591598.165555485,0.0289552775238951,0.7116046788429303,0.1783722205562826,0.0810678230768919,80.76208077480867
2021-01-01 05:00:00+00:00,86.57500076293945,0.0,361.58740463256834,3.6030555555555552,10.820361109839544,24.470277777777778,2.869083317153984,384.675,32.85861111111111,784.5499237738716,135.57309341430664,372.725,373.15,8.034444574647479,217.93053568946,97.0,279.95000019073484,45698.6739107269,0.0093654514362009,0.2080332551983978,0.7826012933654012,537325.9075300847,591021.8493751888,0.0286908331715398,0.711499838180831,0.1786217927604363,0.0811875358871928,87.88849596786201
2021-01-01 06:00:00+00:00,86.47500228881836,0.0,360.9448397360907,0.5,10.33999992026223,25.424166666666665,3.421277777221468,386.2983333333333,34.663611111111095,782.4893033515083,134.91445541381836,372.3411111111111,373.15,8.531750213040246,217.35814036899143,97.0,280.07500007152555,45336.97392168019,0.0094454413651367,0.2080164573133213,0.782538101321542,551753.3812961713,605024.3256541456,0.0342127777722146,0.713637493716346,0.1734688877596308,0.0786808407518085,90.40345563820547
2021-01-01 07:00:00+00:00,86.67500114440918,22.90625,360.4353906949361,1.2966666666666669,10.52383338769277,25.750555555555547,3.3157222104403714,387.50305555555553,35.304722222222225,782.3547981770834,134.8035011291504,372.7075,373.15,8.856777998606365,217.3207778930665,97.0,280.0000001430511,45304.03358602502,0.0093973762282808,0.208026550992061,0.7825760727796581,547671.2439351643,600903.4833987437,0.0331572221044037,0.7132500028606543,0.1744299201347307,0.0791628549002113,97.40441727865804
2021-01-01 08:00:00+00:00,86.52499961853027,0.0,360.983240998586,0.0,10.568333200878566,25.922222222222217,3.158194454113642,388.63138888888886,35.93027777777778,782.3061356947155,134.6846466064453,373.4511111111111,374.1091666666666,9.118416759437984,217.3072603013781,97.5,279.95000019073484,45269.35797811839,0.0094132725284147,0.2080232127690329,0.7825635147025524,541901.6176304319,595093.113254721,0.0315819445411364,0.712615261494971,0.1759281914549596,0.079874602508933,99.03563522328615
2021-01-01 09:00:00+00:00,86.52499961853027,0.0,360.797497177124,0.0,10.56986109548145,25.80361111111111,3.172555574443605,388.3791666666666,35.745,783.2850942993164,135.13325881958008,373.82499999999993,374.15,9.050972390174866,217.608360616896,98.0,280.02500011920927,45464.800110701945,0.0095094964295551,0.2080030057497934,0.7824874978206514,544790.4742547382,598211.6143848129,0.031725555744436,0.7126102616287461,0.1758629233929434,0.0798012592338745,103.18005839340888
