Timestamp,Campus Energy Centre Boiler B-2 Efficiency (%),Campus Energy Centre Boiler B-2 Energy (MWh),Campus Energy Centre Boiler B-2 Entering Water Temp (°C),Campus Energy Centre Boiler B-2 Exhaust CO (ppm),Campus Energy Centre Boiler B-2 Exhaust CO2 (%),Campus Energy Centre Boiler B-2 Exhaust NOx (ppm),Campus Energy Centre Boiler B-2 Exhaust O2 (%),Campus Energy Centre Boiler B-2 Exhaust Temp (°C),Campus Energy Centre Boiler B-2 Firing Rate (%),Campus Energy Centre Boiler B-2 Gas Flow Rate (m³/h),Campus Energy Centre Boiler B-2 Gas Pressure (kPa),Campus Energy Centre Boiler B-2 Leaving Water Temp (°C),Campus Energy Centre Boiler B-2 Leaving Water Temp Setpoint (°C),Campus Energy Centre Boiler B-2 Power (MW),Campus Energy Centre Boiler B-2 Water Flow Rate (L/s),UBC Humidity (%RH),UBC Temp (°C)
2021-01-01 00:00:00+00:00,86.70000267028809,0.0,89.43655479431152,5.827500000000001,10.755305530230208,23.517777777777777,2.98899999866883,110.15555555555557,30.938333333333343,783.652813805474,135.3374137878418,99.55,100.0,7.223277897967233,217.68133773379856,98.0,7.0
2021-01-01 01:00:00+00:00,86.69999885559082,0.0,88.84499740600586,1.314722222222222,10.75544445647134,23.39333333333333,3.0012221994168224,109.5027777777778,30.96555555555556,783.9632658894853,135.0747184753418,99.68805555555556,100.0,7.3651945927408,217.73772892422156,98.0,6.900000095367432
2021-01-01 02:00:00+00:00,86.69999885559082,0.0,89.1144982655843,1.8394444444444444,10.665555545224084,24.07638888888889,2.897888895289765,109.86138888888888,31.31638888888889,783.8749766370983,135.51842498779297,99.475,100.0,7.373166773584154,217.60555018954807,98.0,7.0
2021-01-01 03:00:00+00:00,86.55000114440918,0.0,89.30499839782715,7.601111111111112,10.805027798281776,23.906666666666663,2.757972207301193,110.8938888888889,31.87194444444445,783.0525615776909,135.27142333984375,99.45499999999998,100.0,7.4734167508284255,217.51460125393345,97.5,6.900000095367432
2021-01-01 04:00:00+00:00,86.64999771118164,45.59375,88.8799991607666,4.368611111111111,10.905111135641732,23.918888888888883,2.895527752389511,111.02472222222222,32.438611111111115,784.1719704352485,135.57050323486328,99.11833333333333,100.0,7.73397234082222,217.74013168758825,97.0,6.800000190734863
2021-01-01 05:00:00+00:00,86.57500076293945,0.0,88.43740463256836,3.6030555555555552,10.820361109839544,24.470277777777778,2.869083317153984,111.525,32.85861111111111,784.5499237738716,135.57309341430664,99.575,100.0,8.034444574647479,217.93053568946,97.0,6.800000190734863
2021-01-01 06:00:00+00:00,86.47500228881836,0.0,87.79483973609076,0.5,10.33999992026223,25.424166666666665,3.421277777221468,113.14833333333333,34.663611111111095,782.4893033515083,134.91445541381836,99.19111111111113,100.0,8.531750213040246,217.35814036899143,97.0,6.925000071525574
2021-01-01 07:00:00+00:00,86.67500114440918,22.90625,87.28539069493611,1.2966666666666669,10.52383338769277,25.750555555555547,3.3157222104403714,114.35305555555556,35.304722222222225,782.3547981770834,134.8035011291504,99.5575,100.0,8.856777998606365,217.3207778930665,97.0,6.850000143051148
2021-01-01 08:00:00+00:00,86.52499961853027,0.0,87.83324099858602,0.0,10.568333200878566,25.922222222222217,3.158194454113642,115.48138888888889,35.93027777777778,782.3061356947155,134.6846466064453,100.30111111111113,100.95916666666666,9.118416759437984,217.3072603013781,97.5,6.800000190734863
2021-01-01 09:00:00+00:00,86.52499961853027,0.0,87.64749717712402,0.0,10.56986109548145,25.80361111111111,3.172555574443605,115.22916666666666,35.745,783.2850942993164,135.13325881958008,100.67499999999998,101.0,9.050972390174866,217.608360616896,98.0,6.8750001192092896
2021-01-01 10:00:00+00:00,86.5999984741211,0.0,87.85600083245171,0.0,10.514472438494364,25.376666666666654,3.233749974105093,114.49388888888888,35.21138888888889,783.3305481126572,134.85022735595703,100.25,101.0,8.924139019383324,217.514032113817,98.0,7.199999928474426
2021-01-01 11:00:00+00:00,86.625,40.796875,88.44869623184204,0.0,10.58350007163154,25.1475,2.833249984880288,113.47888888888887,34.022222222222226,786.0048851013181,135.09811782836914,100.37888888888888,101.0,8.363111337688236,218.27913525899257,97.5,7.6250001192092896
2021-01-01 12:00:00+00:00,86.72500228881836,0.0,88.99249458312988,1.915,10.560805645253922,24.874722222222218,3.015472247865465,114.08194444444445,33.750833333333325,784.040059424506,135.31576538085938,100.93055555555556,101.0,8.246916817559136,217.78890624576147,95.25,8.150000095367432
2021-01-01 13:00:00+00:00,86.64999961853027,0.0,88.93239706675212,1.6905555555555556,10.66200010617574,24.664444444444445,2.9779166505734134,111.97166666666664,32.5936111111111,782.1783099534774,134.99393463134766,100.92166666666668,101.0,7.803166785372628,217.27314244588223,94.5,8.449999809265137
2021-01-01 14:00:00+00:00,83.03844323158265,0.0,89.97841421763103,30.49055555555556,10.865805412398444,23.895,2.619444427457121,110.73194444444448,31.135000000000005,782.6683007134329,135.32179260253906,100.41833333333332,101.0,7.33277787314521,217.41665828280983,96.0,8.674999952316284
2021-01-01 15:00:00+00:00,86.14566966586642,29.09375,90.34692436006334,19.261111111111116,10.817416656547124,24.01861111111111,2.855944433510303,110.31972222222224,30.708888888888897,784.6087647501625,135.4522819519043,100.75,101.0,7.395055681996876,217.9468801879884,96.0,9.125
2021-01-01 16:00:00+00:00,86.10172244601779,0.0,90.66499710083008,214.50333333333333,10.810805566045977,24.30944444444445,2.7413055256505805,110.02111111111113,29.816111111111116,784.1629808383517,135.61944961547852,100.75,101.0,6.986500062942505,217.8230510754056,93.0,9.675000190734863
